enrollment_id,navigate,access,problem,page_close,video,discussion,wiki,server,browser,lastlog-firstlog,study days,early events,mid events,late events
1,25.0,107.0,87.0,66.0,29.0,0.0,0.0,119.0,195.0,27,14,21,57,127
4,15.0,64.0,6.0,10.0,4.0,0.0,0.0,80.0,19.0,17,9,27,26,9
5,30.0,226.0,170.0,87.0,86.0,34.0,0.0,202.0,431.0,29,11,115,190,177
7,20.0,203.0,94.0,60.0,69.0,33.0,0.0,154.0,325.0,25,10,103,207,42
13,15.0,200.0,150.0,25.0,69.0,4.0,0.0,149.0,314.0,22,8,22,0,374
14,20.0,60.0,12.0,5.0,5.0,0.0,0.0,83.0,19.0,16,8,0,31,37
18,14.0,90.0,17.0,18.0,10.0,3.0,1.0,106.0,47.0,25,11,20,4,88
20,35.0,59.0,0.0,34.0,12.0,1.0,1.0,96.0,46.0,24,11,37,1,17
22,1.0,66.0,64.0,38.0,36.0,0.0,0.0,49.0,156.0,1,2,0,165,0
23,18.0,53.0,0.0,28.0,14.0,0.0,0.0,71.0,42.0,18,7,7,48,2
26,21.0,146.0,5.0,61.0,31.0,1.0,0.0,163.0,102.0,8,6,0,0,167
28,11.0,45.0,12.0,16.0,21.0,0.0,0.0,41.0,64.0,15,6,6,60,3
35,46.0,82.0,38.0,44.0,6.0,13.0,1.0,137.0,93.0,21,12,36,30,36
39,21.0,90.0,13.0,75.0,33.0,3.0,2.0,116.0,121.0,9,8,0,112,22
46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0
49,160.0,337.0,68.0,171.0,45.0,1324.0,0.0,1784.0,321.0,29,29,121,143,107
53,45.0,168.0,34.0,114.0,67.0,51.0,3.0,255.0,227.0,28,14,47,5,189
55,48.0,93.0,20.0,62.0,29.0,23.0,5.0,164.0,116.0,19,9,21,69,27
58,48.0,239.0,141.0,85.0,34.0,40.0,2.0,274.0,315.0,22,16,165,214,14
60,26.0,67.0,40.0,4.0,0.0,12.0,3.0,104.0,48.0,27,8,21,8,68
65,9.0,32.0,2.0,26.0,20.0,0.0,1.0,43.0,47.0,18,7,7,25,20
67,37.0,98.0,8.0,58.0,20.0,22.0,2.0,152.0,93.0,23,10,45,20,41
70,20.0,63.0,18.0,7.0,3.0,16.0,1.0,103.0,25.0,24,13,19,16,32
73,17.0,61.0,29.0,39.0,0.0,0.0,0.0,74.0,72.0,14,8,0,17,64
74,41.0,147.0,3.0,90.0,31.0,25.0,10.0,221.0,126.0,27,11,6,29,134
76,7.0,63.0,26.0,13.0,6.0,0.0,0.0,75.0,40.0,8,6,0,41,47
80,5.0,22.0,8.0,1.0,2.0,0.0,0.0,29.0,9.0,3,2,0,0,30
81,21.0,109.0,40.0,74.0,29.0,4.0,0.0,140.0,137.0,26,9,44,17,103
82,25.0,68.0,18.0,53.0,27.0,33.0,5.0,135.0,94.0,19,8,19,55,22
83,15.0,24.0,2.0,8.0,5.0,0.0,0.0,40.0,14.0,9,6,0,3,20
86,27.0,111.0,39.0,11.0,8.0,34.0,1.0,168.0,63.0,24,12,52,10,75
88,34.0,134.0,33.0,66.0,19.0,34.0,5.0,209.0,116.0,22,11,59,5,101
90,27.0,138.0,30.0,80.0,34.0,6.0,0.0,166.0,149.0,26,14,40,29,103
