enrollment_id,lastlog-firstlog,study days,early events,mid events,late events
1,27,14,21,57,127
4,17,9,27,26,9
5,29,11,115,190,177
7,25,10,103,207,42
13,22,8,22,0,374
14,16,8,0,31,37
18,25,11,20,4,88
20,24,11,37,1,17
22,1,2,0,165,0
23,18,7,7,48,2
26,8,6,0,0,167
28,15,6,6,60,3
35,21,12,36,30,36
39,9,8,0,112,22
46,0,1,0,0,0
49,29,29,121,143,107
53,28,14,47,5,189
55,19,9,21,69,27
58,22,16,165,214,14
60,27,8,21,8,68
65,18,7,7,25,20
67,23,10,45,20,41
70,24,13,19,16,32
73,14,8,0,17,64
74,27,11,6,29,134
76,8,6,0,41,47
80,3,2,0,0,30
81,26,9,44,17,103
82,19,8,19,55,22
83,9,6,0,3,20
86,24,12,52,10,75
88,22,11,59,5,101
90,26,14,40,29,103
94,18,14,0,36,21
96,26,8,51,70,18
98,25,14,51,2,17
102,0,1,0,0,0
103,20,10,11,93,176
107,13,3,31,16,42
109,7,2,0,0,17
112,28,12,50,13,210
120,21,8,24,1076,151
121,13,7,0,104,15
130,15,5,37,18,10
131,0,1,0,0,1
132,18,2,4,0,0
133,5,3,0,0,104
135,17,13,0,101,11
138,6,4,0,0,126
140,24,15,14,10,9
141,14,6,0,253,0
144,27,10,81,37,157
146,23,16,32,51,65
148,26,18,54,124,103
149,0,1,0,0,12
150,5,2,0,0,38
152,25,8,76,14,110
155,24,9,37,53,34
156,1,2,0,0,3
157,14,4,0,14,76
159,12,9,0,95,238
160,0,2,0,0,49
173,27,17,73,34,140
175,0,1,0,0,12
182,20,13,67,24,26
186,2,3,0,0,138
189,26,10,140,113,31
190,20,7,23,1,101
192,23,19,115,56,165
196,9,3,0,11,85
198,27,17,39,21,82
199,17,10,126,331,135
200,22,2,3,0,6
201,24,12,27,22,96
204,17,3,0,8,39
209,17,7,31,60,3
212,0,1,0,0,4
216,17,10,39,8,1
221,21,13,23,42,39
226,0,1,0,0,0
230,0,1,0,0,0
235,12,9,50,38,17
239,21,20,22,46,23
240,11,12,0,4,284
241,17,6,0,42,6
244,20,7,38,0,105
245,25,7,1,28,0
247,26,7,32,15,23
249,10,5,0,5,44
251,26,5,31,23,66
256,0,1,0,0,4
262,0,1,0,0,0
264,0,1,0,0,23
265,22,8,20,55,12
266,28,14,94,60,110
268,26,12,32,24,157
269,20,10,55,34,33
270,24,13,30,17,21
272,12,12,0,8,13
277,21,5,44,3,29
279,26,12,25,56,90
281,0,1,0,0,0
282,16,11,0,53,28
284,29,24,20,143,1
293,18,4,17,24,2
295,24,11,77,35,165
297,14,11,0,124,9
302,29,17,91,30,49
304,26,11,40,22,101
307,23,7,29,4,65
309,16,8,0,57,139
311,27,12,68,44,40
316,3,3,0,0,27
319,22,13,25,15,36
322,20,9,4,58,26
323,21,11,81,0,116
324,10,10,0,0,88
325,8,3,0,12,16
327,27,26,30,105,53
329,23,7,49,72,95
332,24,10,21,17,15
339,19,7,39,0,91
340,17,6,18,4,12
341,26,7,38,28,113
344,11,10,0,2,245
346,4,5,0,20,174
349,21,6,18,0,142
351,27,14,44,11,91
352,28,12,120,57,155
355,10,8,0,0,75
357,19,17,0,42,18
358,0,1,0,0,2
360,0,1,0,0,4
366,5,7,0,84,2
367,0,1,0,0,6
370,0,1,0,0,8
371,18,7,0,22,133
373,22,11,118,84,138
377,19,6,9,32,39
382,23,13,26,39,136
386,5,2,0,0,38
387,16,10,0,10,116
394,10,8,0,56,90
396,19,6,57,10,65
398,2,3,0,7,26
399,24,12,51,122,39
400,24,7,6,0,59
403,15,4,0,26,27
407,14,8,0,68,15
410,0,1,0,0,6
412,8,5,0,0,86
414,26,11,51,10,168
419,0,1,0,0,0
420,0,1,0,0,0
421,0,1,0,0,0
424,8,5,0,0,32
426,15,7,0,22,63
428,1,2,0,0,50
432,26,14,29,43,11
433,22,19,99,120,10
435,20,6,33,17,31
436,27,8,15,35,39
438,0,1,0,0,11
441,24,7,18,20,87
442,28,4,41,45,79
444,28,17,68,5,138
445,1,3,0,0,49
446,0,2,0,0,45
447,0,1,0,0,0
450,14,8,60,35,15
452,26,8,9,23,87
454,24,7,6,4,27
458,20,14,58,74,103
463,0,1,0,0,0
464,17,8,24,20,86
469,29,14,49,42,88
471,21,10,42,22,19
480,15,8,0,58,47
484,2,3,0,0,72
486,7,4,0,0,45
490,16,5,0,45,30
500,0,1,0,0,0
509,16,5,0,23,71
514,15,9,48,20,32
515,27,14,28,110,269
516,21,12,77,32,124
517,25,13,40,23,187
522,27,16,57,45,181
533,8,6,0,103,26
534,2,3,0,0,32
535,5,3,0,0,101
536,20,6,9,25,13
543,11,4,27,5,5
547,18,7,12,0,51
550,0,2,0,0,22
552,28,17,48,21,83
555,0,2,0,0,0
556,4,4,0,0,102
558,25,4,27,4,32
561,6,3,0,0,156
566,21,9,76,9,32
576,7,5,0,107,8
579,7,4,0,11,37
580,28,11,45,18,105
581,19,7,6,34,43
584,3,3,0,48,4
587,20,8,31,22,72
588,15,10,0,38,155
589,2,3,0,0,70
590,0,2,0,0,9
599,27,10,58,5,70
600,11,8,0,22,43
603,0,1,0,0,0
606,23,15,148,104,212
609,20,4,4,35,3
612,16,5,0,37,23
613,7,5,0,0,48
614,0,1,0,0,20
625,7,4,0,0,158
627,0,1,0,0,14
629,18,4,0,3,43
630,5,2,0,26,9
633,21,7,19,19,29
638,29,21,46,72,47
639,25,11,32,8,176
643,21,5,12,77,14
645,1,2,0,0,31
652,2,3,0,0,42
654,6,6,0,0,82
658,27,13,42,54,35
660,24,6,30,18,63
661,18,5,25,28,13
667,0,1,0,0,0
676,21,5,8,38,22
680,2,3,0,0,55
682,9,5,0,33,52
683,0,2,0,0,33
687,21,9,1,35,54
691,19,5,15,22,26
693,28,13,36,103,167
697,26,9,27,20,33
700,0,1,0,0,1
701,18,4,0,15,28
703,29,9,37,39,46
704,6,5,0,78,21
705,0,1,0,0,9
707,19,3,10,0,79
709,27,12,6,50,70
711,21,12,23,76,44
713,0,1,0,0,0
714,28,10,42,4,30
717,21,15,123,1,104
719,0,1,0,0,2
726,19,9,29,42,20
728,20,7,24,32,60
731,0,1,0,0,0
733,1,2,0,0,42
738,27,8,2,0,85
746,19,9,8,38,22
750,22,3,8,0,45
751,26,15,34,40,143
753,0,1,0,0,0
756,0,1,0,0,0
757,3,4,0,0,201
758,19,9,0,42,80
761,27,23,48,108,188
768,0,1,0,0,0
769,16,3,114,0,73
771,11,2,11,0,24
773,5,2,0,0,5
774,11,11,0,225,54
778,25,8,42,31,59
783,29,9,15,25,28
788,26,7,26,11,70
790,14,6,6,77,46
791,21,7,37,15,34
792,4,3,0,0,34
793,0,1,0,0,0
797,0,1,0,0,0
802,14,6,0,102,87
803,0,1,0,0,7
805,28,5,24,9,24
810,5,4,0,0,74
818,0,1,0,4,0
819,6,3,0,10,17
820,21,5,21,3,25
821,23,12,29,1,120
825,16,5,81,63,66
827,2,3,0,0,64
833,0,1,0,25,0
837,11,7,0,32,92
838,0,1,0,0,0
841,0,1,0,0,0
844,0,2,0,0,22
845,0,1,0,0,0
848,15,4,24,12,62
850,0,2,0,0,0
852,14,6,0,1,204
854,0,1,0,0,0
858,19,13,28,39,74
860,18,11,0,31,36
862,27,17,96,11,83
868,27,11,19,23,17
870,16,7,0,33,69
872,19,9,3,20,71
873,0,1,0,0,0
875,25,11,49,6,97
878,28,10,33,4,68
882,23,13,67,43,186
884,15,7,0,296,160
885,25,14,73,82,149
887,22,14,7,62,40
888,0,1,0,0,30
890,16,5,7,23,9
893,0,1,0,0,9
899,25,14,52,55,40
900,1,2,0,0,8
901,22,5,5,0,60
903,23,9,27,23,136
906,25,10,8,7,137
907,19,6,6,24,35
912,10,7,0,0,90
919,0,1,0,0,11
921,24,14,25,34,72
922,28,21,113,143,7
923,24,14,14,24,61
925,6,5,0,61,2
930,7,5,0,25,16
935,0,1,0,0,7
936,18,12,47,336,94
937,28,16,23,202,230
938,0,1,0,0,12
939,8,4,0,0,175
940,26,13,104,65,173
941,16,6,36,24,46
942,21,2,0,0,0
945,25,10,56,48,115
950,0,2,0,0,5
953,24,11,18,19,17
954,27,7,23,12,25
955,19,11,77,34,125
958,15,4,28,0,11
961,0,1,0,0,2
962,0,2,0,0,15
963,11,7,0,37,124
965,20,13,24,37,195
967,15,4,5,57,6
974,16,3,0,5,40
988,28,13,47,18,127
991,0,1,0,35,0
992,0,1,0,0,16
994,16,6,0,33,221
996,26,7,26,16,20
997,28,10,51,64,14
1000,21,13,64,95,200
1005,26,10,31,27,17
1007,24,5,63,0,81
1019,26,12,43,49,134
1020,10,5,0,80,113
1022,0,1,0,0,25
1024,28,7,0,43,161
1028,28,17,50,22,188
1029,26,11,53,25,34
1030,19,15,123,191,14
1031,0,1,0,0,6
1033,27,6,32,11,54
1041,25,10,0,24,182
1044,5,2,0,0,97
1050,21,12,43,15,107
1052,0,1,0,0,0
1058,1,2,0,0,83
1072,4,2,0,0,0
1073,1,2,0,0,15
1074,9,8,0,47,56
1075,14,6,0,3,49
1077,27,15,0,101,279
1078,27,15,35,88,55
1080,28,15,45,16,116
1082,16,7,0,11,34
1084,9,5,0,47,42
1085,8,7,0,89,86
1086,8,7,0,89,2
1090,19,6,2,142,143
1091,17,8,0,35,81
1095,9,6,0,0,138
1098,5,6,0,0,110
1101,18,10,0,117,93
1112,21,8,25,73,8
1116,24,13,95,136,133
1124,25,5,27,4,45
1126,8,2,0,11,7
1128,19,12,4,44,276
1129,7,2,0,0,66
1131,23,14,5,12,27
1134,15,9,5,80,33
1135,8,6,0,0,74
1136,0,1,0,0,6
1137,24,11,8,53,201
1139,22,9,29,19,45
1141,8,6,0,85,6
